,r2,lat,lon
0,0.700048,-12.5578,278.438
0,0.156221,-12.5578,151.875
0,0.145368,-12.5578,154.688
0,0.116086,-12.5578,157.5
0,0.0920317,-12.5578,160.312
0,0.0681547,-12.5578,163.125
0,0.0558777,-12.5578,165.938
0,0.0432798,-12.5578,168.75
0,0.0381854,-12.5578,171.562
0,0.0463654,-12.5578,174.375
0,0.067828,-12.5578,177.188
0,0.0953448,-12.5578,180
0,0.130273,-12.5578,182.812
0,0.219157,-12.5578,185.625
0,0.322164,-12.5578,188.438
0,0.389798,-12.5578,191.25
0,0.413889,-12.5578,194.062
0,0.403404,-12.5578,196.875
0,0.421063,-12.5578,199.688
0,0.429179,-12.5578,202.5
0,0.511671,-12.5578,205.312
0,0.565416,-12.5578,208.125
0,0.589952,-12.5578,210.938
0,0.581624,-12.5578,213.75
0,0.542688,-12.5578,216.562
0,0.499845,-12.5578,219.375
0,0.45204,-12.5578,222.188
0,0.442177,-12.5578,225
0,0.434434,-12.5578,227.812
0,0.462694,-12.5578,230.625
0,0.483338,-12.5578,233.438
0,0.497227,-12.5578,236.25
0,0.500783,-12.5578,239.062
0,0.496301,-12.5578,241.875
0,0.490568,-12.5578,244.688
0,0.476594,-12.5578,247.5
0,0.455587,-12.5578,250.312
0,0.431928,-12.5578,253.125
0,0.419759,-12.5578,255.938
0,0.408581,-12.5578,258.75
0,0.393875,-12.5578,261.562
0,0.408668,-12.5578,264.375
0,0.41317,-12.5578,267.188
0,0.542176,-12.5578,270
0,0.602049,-12.5578,272.812
0,0.693235,-12.5578,275.625
0,0.303702,12.5578,278.438
0,0.0666161,12.5578,151.875
0,0.0582711,12.5578,154.688
0,0.0470245,12.5578,157.5
0,0.0261006,12.5578,160.312
0,0.0184699,12.5578,163.125
0,0.0264991,12.5578,165.938
0,0.0366543,12.5578,168.75
0,0.0453322,12.5578,171.562
0,0.0585064,12.5578,174.375
0,0.0715555,12.5578,177.188
0,0.110656,12.5578,180
0,0.1473,12.5578,182.812
0,0.18276,12.5578,185.625
0,0.219342,12.5578,188.438
0,0.267937,12.5578,191.25
0,0.319943,12.5578,194.062
0,0.371811,12.5578,196.875
0,0.39879,12.5578,199.688
0,0.394271,12.5578,202.5
0,0.429055,12.5578,205.312
0,0.453821,12.5578,208.125
0,0.488444,12.5578,210.938
0,0.504519,12.5578,213.75
0,0.506943,12.5578,216.562
0,0.499635,12.5578,219.375
0,0.471659,12.5578,222.188
0,0.434611,12.5578,225
0,0.381307,12.5578,227.812
0,0.364043,12.5578,230.625
0,0.348936,12.5578,233.438
0,0.363053,12.5578,236.25
0,0.355862,12.5578,239.062
0,0.324751,12.5578,241.875
0,0.310403,12.5578,244.688
0,0.286192,12.5578,247.5
0,0.301195,12.5578,250.312
0,0.307077,12.5578,253.125
0,0.316068,12.5578,255.938
0,0.335097,12.5578,258.75
0,0.36114,12.5578,261.562
0,0.404861,12.5578,264.375
0,0.44887,12.5578,267.188
0,0.488068,12.5578,270
0,0.499381,12.5578,272.812
0,0.428036,12.5578,275.625
0,0.476695,9.76715,278.438
0,0.0772197,9.76715,151.875
0,0.0660242,9.76715,154.688
0,0.0588294,9.76715,157.5
0,0.0486199,9.76715,160.312
0,0.0535246,9.76715,163.125
0,0.0778687,9.76715,165.938
0,0.110559,9.76715,168.75
0,0.153185,9.76715,171.562
0,0.217514,9.76715,174.375
0,0.273369,9.76715,177.188
0,0.331678,9.76715,180
0,0.3637,9.76715,182.812
0,0.407743,9.76715,185.625
0,0.445741,9.76715,188.438
0,0.505375,9.76715,191.25
0,0.557277,9.76715,194.062
0,0.601473,9.76715,196.875
0,0.618999,9.76715,199.688
0,0.596358,9.76715,202.5
0,0.629101,9.76715,205.312
0,0.647913,9.76715,208.125
0,0.677708,9.76715,210.938
0,0.697938,9.76715,213.75
0,0.709563,9.76715,216.562
0,0.71114,9.76715,219.375
0,0.690187,9.76715,222.188
0,0.675331,9.76715,225
0,0.633322,9.76715,227.812
0,0.612324,9.76715,230.625
0,0.592061,9.76715,233.438
0,0.606955,9.76715,236.25
0,0.607212,9.76715,239.062
0,0.59204,9.76715,241.875
0,0.595018,9.76715,244.688
0,0.5713,9.76715,247.5
0,0.555155,9.76715,250.312
0,0.520166,9.76715,253.125
0,0.505566,9.76715,255.938
0,0.506232,9.76715,258.75
0,0.51727,9.76715,261.562
0,0.546532,9.76715,264.375
0,0.571018,9.76715,267.188
0,0.591469,9.76715,270
0,0.597726,9.76715,272.812
0,0.558191,9.76715,275.625
0,0.606075,6.97653,278.438
0,0.0792907,6.97653,151.875
0,0.0729646,6.97653,154.688
0,0.0783466,6.97653,157.5
0,0.0894909,6.97653,160.312
0,0.115931,6.97653,163.125
0,0.166689,6.97653,165.938
0,0.240609,6.97653,168.75
0,0.352635,6.97653,171.562
0,0.45322,6.97653,174.375
0,0.500884,6.97653,177.188
0,0.539171,6.97653,180
0,0.538839,6.97653,182.812
0,0.582054,6.97653,185.625
0,0.618486,6.97653,188.438
0,0.69462,6.97653,191.25
0,0.743317,6.97653,194.062
0,0.77807,6.97653,196.875
0,0.790611,6.97653,199.688
0,0.764222,6.97653,202.5
0,0.777423,6.97653,205.312
0,0.778805,6.97653,208.125
0,0.800256,6.97653,210.938
0,0.815989,6.97653,213.75
0,0.819308,6.97653,216.562
0,0.817678,6.97653,219.375
0,0.801973,6.97653,222.188
0,0.815521,6.97653,225
0,0.787764,6.97653,227.812
0,0.774361,6.97653,230.625
0,0.753206,6.97653,233.438
0,0.744587,6.97653,236.25
0,0.739435,6.97653,239.062
0,0.735914,6.97653,241.875
0,0.752191,6.97653,244.688
0,0.738413,6.97653,247.5
0,0.721113,6.97653,250.312
0,0.675047,6.97653,253.125
0,0.665892,6.97653,255.938
0,0.664853,6.97653,258.75
0,0.669422,6.97653,261.562
0,0.674231,6.97653,264.375
0,0.667489,6.97653,267.188
0,0.674178,6.97653,270
0,0.672347,6.97653,272.812
0,0.655481,6.97653,275.625
0,0.668411,4.18592,278.438
0,0.0793817,4.18592,151.875
0,0.0863658,4.18592,154.688
0,0.114694,4.18592,157.5
0,0.157918,4.18592,160.312
0,0.215718,4.18592,163.125
0,0.315452,4.18592,165.938
0,0.435161,4.18592,168.75
0,0.555748,4.18592,171.562
0,0.632211,4.18592,174.375
0,0.670627,4.18592,177.188
0,0.706387,4.18592,180
0,0.699966,4.18592,182.812
0,0.733276,4.18592,185.625
0,0.759431,4.18592,188.438
0,0.823801,4.18592,191.25
0,0.860926,4.18592,194.062
0,0.881661,4.18592,196.875
0,0.887799,4.18592,199.688
0,0.873141,4.18592,202.5
0,0.876327,4.18592,205.312
0,0.868184,4.18592,208.125
0,0.872041,4.18592,210.938
0,0.867406,4.18592,213.75
0,0.846513,4.18592,216.562
0,0.830918,4.18592,219.375
0,0.812273,4.18592,222.188
0,0.838116,4.18592,225
0,0.819836,4.18592,227.812
0,0.820772,4.18592,230.625
0,0.815755,4.18592,233.438
0,0.819128,4.18592,236.25
0,0.819275,4.18592,239.062
0,0.81973,4.18592,241.875
0,0.843375,4.18592,244.688
0,0.845223,4.18592,247.5
0,0.859539,4.18592,250.312
0,0.845903,4.18592,253.125
0,0.847157,4.18592,255.938
0,0.84312,4.18592,258.75
0,0.842075,4.18592,261.562
0,0.829531,4.18592,264.375
0,0.800404,4.18592,267.188
0,0.777278,4.18592,270
0,0.746664,4.18592,272.812
0,0.721211,4.18592,275.625
0,0.0855554,1.39531,151.875
0,0.0950119,1.39531,154.688
0,0.134428,1.39531,157.5
0,0.193254,1.39531,160.312
0,0.267347,1.39531,163.125
0,0.388903,1.39531,165.938
0,0.511745,1.39531,168.75
0,0.606982,1.39531,171.562
0,0.670059,1.39531,174.375
0,0.701044,1.39531,177.188
0,0.737977,1.39531,180
0,0.730005,1.39531,182.812
0,0.768645,1.39531,185.625
0,0.796536,1.39531,188.438
0,0.854605,1.39531,191.25
0,0.884089,1.39531,194.062
0,0.895073,1.39531,196.875
0,0.897904,1.39531,199.688
0,0.884645,1.39531,202.5
0,0.887231,1.39531,205.312
0,0.87486,1.39531,208.125
0,0.867775,1.39531,210.938
0,0.851859,1.39531,213.75
0,0.825646,1.39531,216.562
0,0.810916,1.39531,219.375
0,0.792788,1.39531,222.188
0,0.815199,1.39531,225
0,0.79686,1.39531,227.812
0,0.813826,1.39531,230.625
0,0.823,1.39531,233.438
0,0.842247,1.39531,236.25
0,0.853478,1.39531,239.062
0,0.859856,1.39531,241.875
0,0.882056,1.39531,244.688
0,0.886189,1.39531,247.5
0,0.905789,1.39531,250.312
0,0.903069,1.39531,253.125
0,0.902941,1.39531,255.938
0,0.895689,1.39531,258.75
0,0.8926,1.39531,261.562
0,0.8842,1.39531,264.375
0,0.865553,1.39531,267.188
0,0.841371,1.39531,270
0,0.800645,1.39531,272.812
0,0.753885,1.39531,275.625
0,0.0968838,-1.39531,151.875
0,0.0898522,-1.39531,154.688
0,0.113279,-1.39531,157.5
0,0.160181,-1.39531,160.312
0,0.23904,-1.39531,163.125
0,0.364664,-1.39531,165.938
0,0.493611,-1.39531,168.75
0,0.58362,-1.39531,171.562
0,0.646199,-1.39531,174.375
0,0.67153,-1.39531,177.188
0,0.724119,-1.39531,180
0,0.724535,-1.39531,182.812
0,0.784177,-1.39531,185.625
0,0.818359,-1.39531,188.438
0,0.868879,-1.39531,191.25
0,0.887908,-1.39531,194.062
0,0.8887,-1.39531,196.875
0,0.886277,-1.39531,199.688
0,0.864263,-1.39531,202.5
0,0.866253,-1.39531,205.312
0,0.84866,-1.39531,208.125
0,0.839451,-1.39531,210.938
0,0.822777,-1.39531,213.75
0,0.806128,-1.39531,216.562
0,0.806418,-1.39531,219.375
0,0.795055,-1.39531,222.188
0,0.803266,-1.39531,225
0,0.775975,-1.39531,227.812
0,0.802196,-1.39531,230.625
0,0.825583,-1.39531,233.438
0,0.864196,-1.39531,236.25
0,0.890975,-1.39531,239.062
0,0.907435,-1.39531,241.875
0,0.923611,-1.39531,244.688
0,0.926472,-1.39531,247.5
0,0.936144,-1.39531,250.312
0,0.933265,-1.39531,253.125
0,0.92928,-1.39531,255.938
0,0.917979,-1.39531,258.75
0,0.905935,-1.39531,261.562
0,0.901418,-1.39531,264.375
0,0.892882,-1.39531,267.188
0,0.874373,-1.39531,270
0,0.830235,-1.39531,272.812
0,0.763647,-1.39531,275.625
0,0.110498,-4.18592,151.875
0,0.0827613,-4.18592,154.688
0,0.0816955,-4.18592,157.5
0,0.0952261,-4.18592,160.312
0,0.155582,-4.18592,163.125
0,0.253367,-4.18592,165.938
0,0.376849,-4.18592,168.75
0,0.485333,-4.18592,171.562
0,0.56749,-4.18592,174.375
0,0.606572,-4.18592,177.188
0,0.674358,-4.18592,180
0,0.693148,-4.18592,182.812
0,0.78086,-4.18592,185.625
0,0.82324,-4.18592,188.438
0,0.863725,-4.18592,191.25
0,0.873728,-4.18592,194.062
0,0.869557,-4.18592,196.875
0,0.866012,-4.18592,199.688
0,0.838154,-4.18592,202.5
0,0.835798,-4.18592,205.312
0,0.816817,-4.18592,208.125
0,0.816398,-4.18592,210.938
0,0.803966,-4.18592,213.75
0,0.798219,-4.18592,216.562
0,0.811864,-4.18592,219.375
0,0.804915,-4.18592,222.188
0,0.796098,-4.18592,225
0,0.760888,-4.18592,227.812
0,0.78813,-4.18592,230.625
0,0.814483,-4.18592,233.438
0,0.853393,-4.18592,236.25
0,0.878797,-4.18592,239.062
0,0.892459,-4.18592,241.875
0,0.905751,-4.18592,244.688
0,0.911067,-4.18592,247.5
0,0.92163,-4.18592,250.312
0,0.922515,-4.18592,253.125
0,0.915194,-4.18592,255.938
0,0.902071,-4.18592,258.75
0,0.887153,-4.18592,261.562
0,0.891261,-4.18592,264.375
0,0.892567,-4.18592,267.188
0,0.886942,-4.18592,270
0,0.845283,-4.18592,272.812
0,0.772022,-4.18592,275.625
0,0.136579,-6.97653,151.875
0,0.0985117,-6.97653,154.688
0,0.0692891,-6.97653,157.5
0,0.0318097,-6.97653,160.312
0,0.042697,-6.97653,163.125
0,0.0853363,-6.97653,165.938
0,0.164462,-6.97653,168.75
0,0.275643,-6.97653,171.562
0,0.382179,-6.97653,174.375
0,0.449474,-6.97653,177.188
0,0.525815,-6.97653,180
0,0.573098,-6.97653,182.812
0,0.710213,-6.97653,185.625
0,0.766207,-6.97653,188.438
0,0.786611,-6.97653,191.25
0,0.789738,-6.97653,194.062
0,0.778307,-6.97653,196.875
0,0.778452,-6.97653,199.688
0,0.746807,-6.97653,202.5
0,0.753701,-6.97653,205.312
0,0.749042,-6.97653,208.125
0,0.766701,-6.97653,210.938
0,0.756171,-6.97653,213.75
0,0.748657,-6.97653,216.562
0,0.757608,-6.97653,219.375
0,0.736263,-6.97653,222.188
0,0.712717,-6.97653,225
0,0.678688,-6.97653,227.812
0,0.709422,-6.97653,230.625
0,0.734625,-6.97653,233.438
0,0.760198,-6.97653,236.25
0,0.77197,-6.97653,239.062
0,0.772155,-6.97653,241.875
0,0.783232,-6.97653,244.688
0,0.793156,-6.97653,247.5
0,0.809827,-6.97653,250.312
0,0.816249,-6.97653,253.125
0,0.802779,-6.97653,255.938
0,0.789603,-6.97653,258.75
0,0.779054,-6.97653,261.562
0,0.807781,-6.97653,264.375
0,0.831963,-6.97653,267.188
0,0.867942,-6.97653,270
0,0.84179,-6.97653,272.812
0,0.770578,-6.97653,275.625
0,0.712712,-9.76715,278.438
0,0.149925,-9.76715,151.875
0,0.119245,-9.76715,154.688
0,0.0834944,-9.76715,157.5
0,0.0354874,-9.76715,160.312
0,0.0077116,-9.76715,163.125
0,0.00459,-9.76715,165.938
0,0.0177319,-9.76715,168.75
0,0.0624218,-9.76715,171.562
0,0.134113,-9.76715,174.375
0,0.205475,-9.76715,177.188
0,0.288249,-9.76715,180
0,0.364897,-9.76715,182.812
0,0.533926,-9.76715,185.625
0,0.628713,-9.76715,188.438
0,0.651474,-9.76715,191.25
0,0.665861,-9.76715,194.062
0,0.665178,-9.76715,196.875
0,0.671624,-9.76715,199.688
0,0.64858,-9.76715,202.5
0,0.678943,-9.76715,205.312
0,0.691695,-9.76715,208.125
0,0.707715,-9.76715,210.938
0,0.699449,-9.76715,213.75
0,0.684245,-9.76715,216.562
0,0.660535,-9.76715,219.375
0,0.607767,-9.76715,222.188
0,0.585009,-9.76715,225
0,0.564793,-9.76715,227.812
0,0.596455,-9.76715,230.625
0,0.621441,-9.76715,233.438
0,0.641997,-9.76715,236.25
0,0.649998,-9.76715,239.062
0,0.647781,-9.76715,241.875
0,0.653859,-9.76715,244.688
0,0.658711,-9.76715,247.5
0,0.662629,-9.76715,250.312
0,0.659519,-9.76715,253.125
0,0.647151,-9.76715,255.938
0,0.637391,-9.76715,258.75
0,0.630104,-9.76715,261.562
0,0.664111,-9.76715,264.375
0,0.691017,-9.76715,267.188
0,0.779756,-9.76715,270
0,0.791967,-9.76715,272.812
0,0.77108,-9.76715,275.625
